,district,sub_district,sum(aadhaar_generated)
798,Simdega,Simdega,6
799,Simdega,Thethaitangar,2
800,Singrauli,Chitrangi,51
801,Singrauli,Deosar,28
802,Singrauli,Singrauli,14
803,Sirsa,Dabwali,95
804,Sirsa,Ellenabad,19
805,Sirsa,Rania,19
806,Sirsa,Sirsa,46
807,Solapur,Madha,1
808,Solapur,Malshiras,3
809,Solapur,Mangalvedhe,2
810,Solapur,Pandharpur,57
811,Solapur,Sangole,1
812,Sonbhadra,Dudhi,1
813,Sonipat,Gohana,13
814,Sonipat,Sonipat,2
815,South Delhi,Defence Colony,1
816,South Delhi,Hauz Khas,2
817,South Tripura,Hrishyamukh,0
818,South West Delhi,Najafgarh,1
819,South West Delhi,Vasant Vihar,2
820,Sri Muktsar Sahib,Giddarbaha,1
821,Sri Muktsar Sahib,Malout,19
822,Sri Muktsar Sahib,Sri Muktsar Sahib,4
823,Tarn Taran,Khadoor Sahib,15
824,Tarn Taran,Patti,22
825,Tarn Taran,Tarn Taran,78
826,Tehri Garhwal,Devprayag,1
827,Thane,Ambarnath,2
828,Thane,Bhiwandi,20
829,Thane,Dahanu,9
830,Thane,Kalyan,25
831,Thane,Nallasopara (west),0
832,Thane,Talasari,1
833,Thane,Thane,36
834,Thane,Ulhasnagar,12
835,Thane,Vada,0
836,Thane,Vasai,0
837,Tikamgarh,Baldeogarh,74
838,Tikamgarh,Jatara,14
839,Tikamgarh,Niwari,31
840,Tikamgarh,Palera,10
841,Tikamgarh,Prithvipur,10
842,Tikamgarh,Tikamgarh,1
843,Tiruvallur,Ambattur,1
844,Tonk,Deoli,1
845,Tonk,Malpura,14
846,Tonk,Niwai,1
847,Tonk,Peeplu,5
848,Tonk,Todaraisingh,11
849,Tumkur,Gubbi,1
850,Tumkur,Pavagada,1
